Date,"Food
consumption","Amount of exercise/
activity (h)","Sleep
length (h)"
4/9/2021,"Breakfast: 
Lunch: 
Dinner: spicy cow intestine stir fry",0,6
4/10/2021,"Breakfast: 
Lunch: 8 baked chicken wings
Dinner: Spicy braised mackerel stew",0,11
4/11/2021,"Breakfast: 
Lunch: 
Dinner: ",0,11
4/12/2021,"Breakfast: 
Lunch: 
Dinner: ",1,6
4/13/2021,"Breakfast: 
Lunch: sashimi
Dinner: Spicy braised mackerel stew",0,7
4/14/2021,"Breakfast: 
Lunch: 
Dinner: ",0,6
4/15/2021,"Breakfast: 
Lunch: 
Dinner: ",0,7
4/16/2021,"Breakfast: 
Lunch: 
Dinner: ",0,7
4/17/2021,"Breakfast: 
Lunch: 
Dinner: ",0,6
4/18/2021,"Breakfast: 
Lunch: 
Dinner: Pho",0,10
4/19/2021,"Breakfast: 
Lunch: Beijing Beef
Dinner: korean soy bean paste noodle",0,6
4/20/2021,"Breakfast: 
Lunch: 10 chicken wings with salad
Dinner: rice noodles",0,6
4/21/2021,"Breakfast: 
Lunch: korean soy bean paste noodle (instant version)
Dinner: birria tacos",0,8
4/22/2021,"Breakfast: 
Lunch: birria stew
Dinner: kbbq and cold buckwheat noodle",0,8
4/23/2021,"Breakfast: 
Lunch: 
Dinner: kimchi fried rice",0,7
4/24/2021,"Breakfast: 
Lunch: 
Dinner: lasagna",0,11
4/25/2021,"Breakfast: 
Lunch: 
Dinner: korean curry with rice",0,12
4/26/2021,"Breakfast: 
Lunch: korean curry with rice
Dinner: grilled mackrel",0,5
4/27/2021,"Breakfast: 
Lunch: 
Dinner: kimchi/soy bean stew with tonkatsu",0,4
4/28/2021,"Breakfast: 
Lunch: kimchi stew and baked chicken
Dinner: oven baked mackerel and cold buckwheat noodles",0,6
4/29/2021,"Breakfast: 
Lunch: 
Dinner: ",0,6
4/30/2021,"Breakfast: 
Lunch: kimchi fried rice
Dinner: pizza",0,6
5/1/2021,"Breakfast: 
Lunch: pan seared steak
Dinner: seafood stew",0,12
5/2/2021,"Breakfast: 
Lunch: costco wrap
Dinner: kimchi stir fried pork",0,11
5/3/2021,"Breakfast: 
Lunch: 
Dinner: cabbage and beef stew",0,0
5/4/2021,"Breakfast: 
Lunch: spicy stir fried noodles
Dinner: KFC",0,0
5/5/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/6/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/7/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/8/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/9/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/10/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/11/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/12/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/13/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/14/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/15/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/16/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/17/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/18/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/19/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/20/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/21/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/22/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/23/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/24/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/25/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/26/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/27/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/28/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/29/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/30/2021,"Breakfast: 
Lunch: 
Dinner: ",,
5/31/2021,"Breakfast: 
Lunch: 
Dinner: ",,
6/1/2021,"Breakfast: 
Lunch: 
Dinner: ",,
6/2/2021,"Breakfast: 
Lunch: 
Dinner: ",,
6/3/2021,"Breakfast: 
Lunch: 
Dinner: ",,
6/4/2021,"Breakfast: 
Lunch: 
Dinner: ",,
,,Total: ,Total: